category,c
/News/Politics,20
/Arts & Entertainment/Movies,19
/Business & Industrial,14
/Sensitive Subjects,14
/Sports/Individual Sports,13
/Sports/Individual Sports/Track & Field,11
/Sports,11
/Law & Government/Government,8
/News,7
/Books & Literature,7
/Computers & Electronics/Computer Security,7
/News/Business News,4
/Travel/Air Travel,4
/Computers & Electronics/Consumer Electronics/Game Systems & Consoles,4
/Autos & Vehicles,4
/Law & Government/Legal,4
/Arts & Entertainment,4
/Arts & Entertainment/TV & Video/TV Shows & Programs,3
/News/Sports News,3
/Arts & Entertainment/Performing Arts/Acting & Theater,3
/Law & Government,2
/Internet & Telecom/Service Providers,2
/Health/Substance Abuse/Steroids & Performance-Enhancing Drugs,2
/Computers & Electronics/Computer Hardware,2
/People & Society,2
/Business & Industrial/Energy & Utilities/Oil & Gas,2
/Arts & Entertainment/Music & Audio,2
/Business & Industrial/Metals & Mining,2
/Business & Industrial/Transportation & Logistics,2
/Computers & Electronics/Software,2
/Computers & Electronics/Software/Operating Systems,2
/Computers & Electronics/Consumer Electronics,2
/Computers & Electronics,2
/Books & Literature/Children's Literature,2
/Arts & Entertainment/Visual Art & Design,2
/People & Society/Social Issues & Advocacy,2
/Law & Government/Public Safety/Crime & Justice,2
/Jobs & Education/Education/Colleges & Universities,2
/Internet & Telecom/Mobile & Wireless,2
/Computers & Electronics/Consumer Electronics/Audio Equipment,2
/Hobbies & Leisure/Merit Prizes & Contests,2
/Arts & Entertainment/Humor,1
/Internet & Telecom/Web Services,1
/Arts & Entertainment/Celebrities & Entertainment News,1
/People & Society/Social Issues & Advocacy/Work & Labor Issues,1
/Games/Gambling,1
/Jobs & Education/Education,1
/Travel/Tourist Destinations,1
/Law & Government/Government/Visa & Immigration,1
/Jobs & Education/Education/Primary & Secondary Schooling (K-12),1
/Arts & Entertainment/Music & Audio/Classical Music,1
/Arts & Entertainment/Performing Arts/Dance,1
/Finance/Financial Planning & Management/Retirement & Pension,1
/Hobbies & Leisure,1
/People & Society/Religion & Belief,1
/Arts & Entertainment/Performing Arts,1
/Sports/Team Sports/Soccer,1
/Sports/Individual Sports/Golf,1
/Sports/Team Sports/Baseball,1
/Food & Drink/Beverages/Alcoholic Beverages,1
/Business & Industrial/Business Services,1
/Finance/Investing,1
/Science,1
/Jobs & Education/Jobs/Job Listings,1
/Computers & Electronics/Computer Hardware/Laptops & Notebooks,1
/Arts & Entertainment/Entertainment Industry,1
/Finance/Investing/Currencies & Foreign Exchange,1
/Business & Industrial/Energy & Utilities,1
/Online Communities,1
/Internet & Telecom,1
/Business & Industrial/Agriculture & Forestry,1
/Games/Computer & Video Games,1
/Sports/Team Sports/Rugby,1
/Jobs & Education/Jobs,1
/Business & Industrial/Business Services/Office Supplies,1
/Food & Drink/Beverages,1
/Internet & Telecom/Email & Messaging/Voice & Video Chat,1
/Arts & Entertainment/Entertainment Industry/Film & TV Industry,1
/Health/Reproductive Health,1
